text,source
"Emma bought a hen for her new farm. She waited patiently for her to lay her first egg. Soon, Emma found an egg waiting in the coop!",roc
Scotland Yard men in and out of the house like a jack-in-thebox!,mnli
Connor was so bored one day. He saw a flyer for the county fair. He asked his mom if she could take him.,roc
Redman wanted to start on Varsity. He would do anything to start. He trained everyday of the week. Redman also made it a habit to study hard.,roc
I wanted to learn to play guitar. I went to a music store. A salesman let me play with a guitar in a corner.,roc
Kenny was the life of the party at most times. He always spent his time making others happy. He decides to try to get a girlfriend.,roc
"Kim was sad when she heard she needed glasses. She thought the other kids would mock her. But she got a surprise. When she wore them, no one said anything!",roc
He went on to detail the events of the morning.,mnli
"Anyhow, if you'd been using your eyes and seen the way we are traveling, you'd know I've rejoined the crew.",mnli
"Beside that magnificent blaze of color Shiloh was drab, a shadow about to be put to flight by the sun.",mnli
"Beautiful as she had seemed before, it was as nothing to the loveliness that now went fully adorned.",mnli
"Nema came into the room now, touching his shoulder gently.",mnli
Luke was an old fashioned rancher. He took care of his cattle like his father taught him to. But his father did not prepare him for tonight's storm.,roc
Jessica was so excited to go to New York. It was her first time visiting the city. She went to all of the famous landmarks.,roc
"We lived in a condo in Brighton, MA, in 1995. One day in the summer, two boys came by. They came by the dumpsters, looking for things to scavenge.",roc
"Jonathan made a big deal of buying a sailboat. It was so important to him, he told everyone he knew.",roc
Peter wanted to impress a woman he had a big crush on. Peter signed up for a 5k race that Lois was organizing.,roc
"Five minutes later he stood upright with some difficulty, owing to 141 the cramp in his limbs.",mnli
"I, said the spider, who sat down insider, I went boomp in the night and the bull jumped over the moon....",mnli
"Kenzo also did copypastes, attended meetings, and gathered praise, and so it went through three more companies, until he became the head of the PanAsian region in an advanced ecoillogical technologies company.",mnli
"Gary was the proud owner of a 1989 Toyota Camry. However, the car was continuously breaking down with Gary. Gary decided it was time to get a new car.",roc
I saw a huge cookie on my co-worker's desk. He told me not to eat it. My mouth watered with anticipation.,roc
Janet left early for work one day. She got in her car and started driving down the road. She suddenly realized she had lost her purse!,roc
"There were signs of struggle, but all the doors had been broken open from the inside.",mnli
My sister in law is named Bertha. In 1996 Hurricane Bertha hit New England. One of Bertha's coworkers made fun of her name.,roc
"He bore a whip like everyone else who seemed to have any authority at all, but he wasn't using it.",mnli
"It was late, and the place was thinning out.",mnli
"The water was boiling, but there was still some left.",mnli
"I suppose, said Lawrence quietly, ""that I should.""",mnli
"Dave started to phrase some protest, when he found his legs taking him forward to stop in front of Sather Karf, like some clockwork man whose lever has been pushed.",mnli
These people simply decided a man was well and ordered him out.,mnli
She had to change the lunch menu and that means she won't be worth living with for a week.,mnli
"Isn't he a duck? inquired Tuppence ecstatically, as she skipped down the steps.",mnli
Kana and her mom were camping. They were having fun - but Kana was hungry. She wished she could cook s'mores or wieners!,roc
Jake was walking along a bike bath. And found a wallet on the floor. He kept the wallet and planned on keeping the money.,roc
Gus put some bacon on a cold pan and turned on the heat. There was a knock at the door so he went to open it.,roc
That ain't no outfit I heard tell of before.,mnli
Few people had ever broken through the crust of self-sufficiency the Kentuckian had begun to grow in early childhood.,mnli
"Danielle wanted to decorate her porch. She got a topiary for next to her door. It grew taller and taller. Soon, she had to trim it back.",roc
"I was sitting in a helicopter, on the edge of my seat.",mnli
When I was a kid I wanted to be really good at playing violin. I practiced all the time to be really good.,roc
In 2002 I went to a concert given by the Boston Symphony Orchestra. I had a beer in the lounge before the concert.,roc
Sam was out on a date. They decided to watch a new movie. Sam didn't know much about it. It wound up being a lot of fun.,roc
The nation was tense. Their president had just declared war. The soldiers prepared for battle. It was the first war they'd been in in decades.,roc
"My wife's niece owned a horse in Greenfield, MA. She rode him in shows and competitions. She is an equestrian business major in college.",roc
It is in the hands of Mr. Brown.,mnli
Gina was swimming in the ocean. She was looking at the fish and coral below her. She saw a squid swim by. It was an amazing creature!,roc
Peter was a hitman with a heart of gold. He always let his prey go away without killing them. His clients were less than happy with his work.,roc
Derrick moved to Alabama to be with his family. After a few years he started to want something different. He visited his cousin in Vegas twice a year.,roc
"They would publish it broadcast throughout England, and declare for the revolution 63 without a moment's hesitation.",mnli
Frank borrowed Jesse's car to run some errands. Frank got into a collision with another vehicle with Jesse's car. Jesse thought Frank had been careless.,roc
Michael took Nia to a scary movie on their first date. The zombies in the movie made Nia feel very scared.,roc
"Thank you, Miss Finn. It was Sir James who spoke.",mnli
So close was it that Ca'daan thought it had hit her.,mnli
One of the brill I had planned to sell had become impacted on the trip and slowed me down by a day.,mnli
"Troy was always on the bench during his baseball games. One day, his coach decided to put him in. Waiting to bat, Troy became nervous.",roc
Laura and I were both invited to our friend's wedding. It was a very social wedding so we didn't feel weird about it.,roc
"Malory was always a beautiful women growing up, she had the looks. She was not good in school but she didn't care she didn't need it.",roc
Terrence was on a date. He suggested they walk around the town's fountain. They took a stroll and Terrence dropped to one knee. He proposed to her!,roc
"It just tickles me to death!"" Then he added seriously: ""But say now, I don't like it, Miss Tuppence, I sure don't.",mnli
Sarah was walking her dog around her neighborhood. Her dog saw a squirrel run up a tree. Sarah struggled to restrain her dog on the leash.,roc
190 Again Tommy felt that cold chill of uncertainty.,mnli
At once I realized that I was in a very awkward predicament.,mnli
At first my daughter was hesitant about Pokemon Go. I talked her into trying Pokemon Go just once.,roc
"You couldn't call it a suspicion, I murmured.",mnli
